Response ID,DOB,Gender,Employment Duration,Industry,Profession,No of Employees in organization,Has children,Location,Weekly Remote work time(in %),Preferred weekly Remote work time(in %),Yearly Remote work time(in %),Preferred Yearly Remote work time(in %),Preferred Remote work time post Covid
20,1995,Female,Between 1 and 5 years,Retail Trade,Sales workers - Sales Support Workers,More than 200,Yes,Metro,80,100,80,100,100
21,1980,Female,Less than 1 year,Construction,Community and personal service workers - Hospitality Workers,5-19,Yes,Metro,20,20,20,20,30
22,1978,Male,More than 5 years,Accommodation and Food,Managers - Specialist Managers,20-199,Yes,Regional,30,30,30,30,30
23,1976,Male,More than 5 years,Wholesale Trade,Managers - Specialist Managers,20-199,Yes,Metro,30,40,50,20,50
24,1961,Male,More than 5 years,Wholesale Trade,Managers - Specialist Managers,20-199,No,Metro,90,90,90,90,90
25,1965,Female,Between 1 and 5 years,Education and Training,Clerical and administrative workers - General Clerical Workers,20-199,Yes,Metro,100,100,100,100,5
26,1959,Male,Between 1 and 5 years,Wholesale Trade,Managers - Specialist Managers,Self employed,Yes,Metro,100,100,100,100,100
27,1964,Female,More than 5 years,Wholesale Trade,Clerical and administrative workers - General Clerical Workers,More than 200,Yes,Metro,70,50,20,50,50
28,1989,Male,Between 1 and 5 years,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",5-19,Yes,Metro,20,30,20,10,10
29,1975,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - Clerical and Office Support Workers,5-19,No,Metro,30,40,30,70,80
30,1987,Female,More than 5 years,Financial and Insurance,Professionals - ICT Professionals,More than 200,Yes,Metro,100,100,100,100,100
31,1975,Female,Between 1 and 5 years,Other Services,Technicians and trades workers - Skilled Animal and Horticultural Workers,1-4,Yes,Regional,30,50,10,50,50
32,1979,Female,Between 1 and 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,20-199,No,Metro,100,100,100,100,100
33,1983,Female,Less than 1 year,Construction,Professionals - Education Professionals,5-19,Yes,Metro,20,40,30,20,30
34,1974,I would rather not say,More than 5 years,"Professional, Scientific and Technical",Professionals - ICT Professionals,20-199,Yes,Metro,100,100,60,100,90
35,1967,Male,More than 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",1-4,Yes,Regional,20,20,20,20,20
36,1967,Male,More than 5 years,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,5,,80,50,20
37,1960,Male,More than 5 years,Other Services,Managers - Specialist Managers,20-199,No,Metro,100,100,20,70,50
38,1982,Male,More than 5 years,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",5-19,No,Metro,10,50,40,60,70
39,1979,Male,More than 5 years,"Agriculture, Forestry and Fishing","Managers - Chief Executives, General Managers and Legislators",5-19,Yes,Metro,0,50,0,50,50
40,1962,Female,Less than 1 year,Retail Trade,"Professionals - Design, Engineering, Science and Transport Professionals",1-4,Yes,Metro,50,90,100,100,100
41,1961,Male,More than 5 years,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",5-19,Yes,Metro,20,5,10,5,5
42,1983,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - Health Professionals,20-199,Yes,Metro,10,30,0,0,0
43,1965,Male,Between 1 and 5 years,Construction,"Professionals - Design, Engineering, Science and Transport Professionals",20-199,No,Metro,90,90,10,90,50
44,1981,Female,Less than 1 year,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Metro,50,50,50,50,50
45,1966,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Regional,0,0,30,10,0
46,1974,Female,Between 1 and 5 years,Wholesale Trade,Clerical and administrative workers - Office Managers and Program Administrators,20-199,Yes,Metro,50,50,50,50,50
47,1978,Male,More than 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,90,90,90,90,80
48,1987,Female,Between 1 and 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,20,20,20,30,20
49,1984,Male,More than 5 years,Manufacturing,Professionals - ICT Professionals,More than 200,Yes,Regional,100,100,100,100,100
50,1983,Male,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,80,100,80,80,60
51,1971,Male,Between 1 and 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,50,50,40,30,50
52,1980,Male,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,Self employed,Yes,Metro,50,50,50,50,50
53,1981,Male,More than 5 years,Financial and Insurance,Professionals - ICT Professionals,20-199,Yes,Metro,70,70,70,80,80
54,1977,Female,More than 5 years,Arts and Recreation,Professionals - Arts and Media Professionals,1-4,Yes,Regional,100,100,100,100,100
55,1981,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,30,20,10,20,20
56,1962,Male,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,20-199,No,Metro,100,50,90,70,70
57,1978,Male,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Yes,Metro,40,90,80,40,80
58,1980,Female,Between 1 and 5 years,Retail Trade,Managers - Specialist Managers,20-199,Yes,Metro,50,50,50,60,60
59,1987,Male,Less than 1 year,Retail Trade,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,5-19,Yes,Metro,40,40,30,60,40
60,1972,Male,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,20-199,Yes,Metro,80,80,80,80,80
61,1985,Male,More than 5 years,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,50,50,20,20,20
62,1964,Male,Between 1 and 5 years,Other Services,Managers - Specialist Managers,20-199,Yes,Metro,90,80,50,50,40
63,1961,Female,More than 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",Self employed,No,Regional,100,100,100,100,100
64,1963,Male,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Metro,5,5,0,0,0
65,1992,Male,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",20-199,No,Metro,90,80,90,80,80
66,1981,Male,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",20-199,No,Metro,80,80,40,60,20
67,1961,Male,More than 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",Self employed,No,Regional,10,20,30,30,60
68,1990,Female,Between 1 and 5 years,Other Services,"Professionals - Design, Engineering, Science and Transport Professionals",5-19,No,Metro,70,70,50,50,50
69,1995,Female,Less than 1 year,Public Administration and Safety,Professionals - Education Professionals,More than 200,Yes,Metro,100,90,90,90,60
70,1974,Female,More than 5 years,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,Yes,Metro,100,100,100,100,80
71,1961,Male,More than 5 years,"Agriculture, Forestry and Fishing",Technicians and trades workers - Skilled Animal and Horticultural Workers,20-199,Yes,Regional,20,30,20,30,20
72,1968,Female,More than 5 years,Education and Training,Professionals - Education Professionals,1-4,No,Regional,0,0,0,0,0
73,1980,Male,Between 1 and 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",20-199,Yes,Metro,30,30,20,20,50
74,1981,Male,Less than 1 year,Public Administration and Safety,Clerical and administrative workers - Personal Assistants and Secretaries,More than 200,Yes,Metro,60,40,60,60,40
75,1985,Female,More than 5 years,Health Care and Social Assistance,"Professionals - Legal, Social and Welfare Professionals",More than 200,Yes,Metro,30,100,20,70,70
76,1981,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Metro,100,100,100,100,100
77,1977,Male,More than 5 years,Public Administration and Safety,Professionals - ICT Professionals,More than 200,Yes,Metro,100,100,100,100,80
78,1971,Male,Less than 1 year,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Metro,90,90,80,80,70
79,1978,Female,Between 1 and 5 years,Health Care and Social Assistance,Clerical and administrative workers - Office Managers and Program Administrators,20-199,Yes,Metro,40,40,40,60,60
80,1957,Female,More than 5 years,Health Care and Social Assistance,Community and personal service workers - Health and Welfare Support Workers,5-19,Yes,Metro,20,0,5,0,0
81,1978,Female,Between 1 and 5 years,Financial and Insurance,Professionals - Health Professionals,More than 200,No,Metro,50,60,50,50,30
82,1970,Female,Less than 1 year,"Rental, Hiring and Real Estate",Managers - Specialist Managers,20-199,No,Metro,40,100,80,100,100
83,1965,Male,More than 5 years,"Transport, Postal and Warehousing",Clerical and administrative workers - General Clerical Workers,More than 200,No,Metro,5,0,5,0,0
84,1976,Female,More than 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",20-199,No,Metro,5,5,30,30,30
85,1957,Male,More than 5 years,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",Self employed,Yes,Metro,80,50,70,50,50
86,1986,Female,Between 1 and 5 years,Public Administration and Safety,Managers - Specialist Managers,More than 200,Yes,Regional,50,50,10,40,40
87,1986,Female,Between 1 and 5 years,"Rental, Hiring and Real Estate",Professionals - Education Professionals,20-199,No,Metro,40,10,20,30,20
88,1991,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,90,80,100,80,60
89,1965,Male,More than 5 years,Construction,Technicians and trades workers - Construction Trades Workers,5-19,Yes,Metro,90,100,90,70,80
90,1972,Male,More than 5 years,Education and Training,Managers - Specialist Managers,1-4,Yes,Regional,10,5,0,0,10
91,1962,Female,Between 1 and 5 years,Manufacturing,Managers - Specialist Managers,More than 200,No,Regional,0,0,0,0,0
92,1993,Female,Less than 1 year,Wholesale Trade,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,No,Metro,20,50,30,50,50
93,1973,Male,More than 5 years,Public Administration and Safety,"Professionals - Legal, Social and Welfare Professionals",More than 200,No,Metro,50,20,20,40,30
94,1983,Male,Less than 1 year,Information Media and Telecommunications,Professionals - ICT Professionals,20-199,Yes,Metro,70,70,70,70,70
95,1966,Female,More than 5 years,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",5-19,No,Metro,100,100,100,80,80
96,1990,Female,Between 1 and 5 years,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",20-199,Yes,Metro,20,10,10,20,5
97,1995,Female,Between 1 and 5 years,Administrative and Support,Managers - Farmers and Farm Managers,20-199,Yes,Metro,20,10,20,20,10
98,1957,Female,Between 1 and 5 years,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",5-19,No,Regional,50,80,40,80,50
99,1970,Male,More than 5 years,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,20-199,Yes,Metro,70,60,60,60,70
100,1980,Male,More than 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Yes,Metro,50,40,30,20,30
101,1978,Female,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,5-19,Yes,Metro,60,60,70,70,70
102,1997,Female,Between 1 and 5 years,"Electricity, Gas, Water and Waste",Community and personal service workers - Hospitality Workers,1-4,Yes,Metro,40,30,50,40,40
103,1976,Female,More than 5 years,Other Services,Clerical and administrative workers - Personal Assistants and Secretaries,More than 200,No,Metro,100,100,100,100,60
104,1975,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,5-19,No,Metro,40,50,50,40,20
105,1993,Female,Between 1 and 5 years,Other Services,Professionals - Arts and Media Professionals,20-199,No,Metro,10,30,0,30,30
106,1992,Female,Less than 1 year,Retail Trade,Sales workers - Sales Assistants and Salespersons,20-199,Yes,Metro,10,20,40,20,30
107,1969,Female,More than 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",20-199,Yes,Metro,20,20,20,20,20
108,1986,Female,More than 5 years,Financial and Insurance,"Professionals - Legal, Social and Welfare Professionals",More than 200,No,Metro,100,100,100,100,100
109,1978,Female,Between 1 and 5 years,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Regional,30,50,30,50,50
110,1992,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Metro,40,40,20,20,20
111,1995,Female,Between 1 and 5 years,Construction,Managers - Specialist Managers,20-199,No,Metro,40,30,70,70,40
112,1984,Female,Between 1 and 5 years,"Transport, Postal and Warehousing","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Yes,Metro,80,50,80,50,50
113,1998,Female,Between 1 and 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",20-199,Yes,Metro,0,50,0,50,50
114,1987,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,5-19,Yes,Regional,30,50,30,50,50
115,1974,Male,Between 1 and 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Regional,100,100,50,100,100
116,1986,Female,More than 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Yes,Metro,30,20,40,30,30
117,1977,Female,More than 5 years,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,Yes,Metro,10,20,20,20,20
118,1989,Male,More than 5 years,Other Services,Clerical and administrative workers - General Clerical Workers,More than 200,No,Metro,100,100,0,100,70
119,1983,Male,Between 1 and 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Yes,Metro,70,70,70,70,70
120,1999,Female,Between 1 and 5 years,Public Administration and Safety,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,Yes,Metro,100,100,100,60,80
121,1981,Female,Between 1 and 5 years,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Metro,30,90,5,5,0
122,1971,Male,Less than 1 year,Education and Training,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,100,100,100,100,100
123,1986,Female,Less than 1 year,Education and Training,Managers - Specialist Managers,More than 200,Yes,Metro,80,80,60,80,80
124,1981,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,20-199,Yes,Metro,50,60,40,50,50
125,1978,Male,More than 5 years,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",20-199,Yes,Regional,10,10,10,10,10
126,1995,Male,Between 1 and 5 years,Health Care and Social Assistance,"Managers - Hospitality, Retail and Service Managers",20-199,No,Metro,50,50,50,50,70
127,1972,Male,Between 1 and 5 years,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Metro,5,20,20,20,40
128,1992,Male,Between 1 and 5 years,Manufacturing,Machinery operators and drivers - Storepersons,More than 200,Yes,Metro,10,10,10,10,10
129,1980,Male,Between 1 and 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,70,70,40,50,60
130,1979,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,No,Metro,50,50,50,50,50
131,1992,Female,Between 1 and 5 years,Health Care and Social Assistance,Clerical and administrative workers - General Clerical Workers,More than 200,Yes,Metro,40,20,30,30,20
132,1968,Male,More than 5 years,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,Yes,Metro,100,100,60,100,100
133,1999,Male,Between 1 and 5 years,Retail Trade,Sales workers - Sales Assistants and Salespersons,More than 200,Yes,Regional,0,0,0,0,0
134,1998,Female,Between 1 and 5 years,Administrative and Support,Sales workers - Sales Representatives and Agents,More than 200,Yes,Metro,90,90,90,100,100
135,1996,Female,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Metro,100,100,100,90,70
136,1986,Female,More than 5 years,Education and Training,Professionals - Education Professionals,20-199,No,Metro,5,0,0,20,20
137,1980,Male,Between 1 and 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,70,40,60,60,60
138,1999,Female,Between 1 and 5 years,Other Services,Sales workers - Sales Assistants and Salespersons,20-199,No,Metro,0,5,0,5,5
139,1966,Male,More than 5 years,Public Administration and Safety,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,100,100,100,100,60
140,1993,Male,Between 1 and 5 years,Accommodation and Food,Technicians and trades workers - Food Trades Workers,20-199,No,Metro,20,80,40,20,50
141,1981,Male,Less than 1 year,Construction,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,80,90,70,70,60
142,1993,Female,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,5,100,100,100,90
143,1990,Male,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,Yes,Metro,100,80,100,100,80
144,1999,Female,Less than 1 year,Retail Trade,Machinery operators and drivers - Storepersons,More than 200,No,Metro,20,0,5,0,0
145,1983,Male,Less than 1 year,Education and Training,Managers - Specialist Managers,20-199,Yes,Metro,100,100,40,100,100
146,1995,Female,Between 1 and 5 years,"Rental, Hiring and Real Estate",Clerical and administrative workers - Inquiry Clerks and Receptionists,More than 200,No,Metro,40,80,20,50,40
147,1988,Female,Between 1 and 5 years,Health Care and Social Assistance,Community and personal service workers - Health and Welfare Support Workers,More than 200,Yes,Metro,60,60,5,50,50
148,1989,Female,Between 1 and 5 years,Construction,Labourers - Construction and Mining Labourers,5-19,Yes,Metro,40,50,50,30,80
149,1992,Male,More than 5 years,Retail Trade,Managers - Specialist Managers,5-19,Yes,Metro,50,50,10,50,50
150,1991,Female,More than 5 years,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",20-199,Yes,Metro,70,100,30,70,70
151,1990,Female,Between 1 and 5 years,Manufacturing,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Metro,100,100,80,70,100
152,1992,Female,More than 5 years,Construction,Clerical and administrative workers - Office Managers and Program Administrators,5-19,Yes,Regional,50,50,50,60,50
153,1979,Male,More than 5 years,"Professional, Scientific and Technical","Technicians and trades workers - Engineering, ICT and Science Technicians",20-199,Yes,Metro,80,100,80,80,80
154,1990,Male,Between 1 and 5 years,Retail Trade,Managers - Specialist Managers,More than 200,Yes,Metro,30,20,40,20,20
155,1982,Female,More than 5 years,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,30,30,20,30,30
156,1980,Male,Between 1 and 5 years,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Metro,10,30,20,20,20
157,1990,Male,Between 1 and 5 years,Retail Trade,Managers - Specialist Managers,More than 200,Yes,Metro,30,20,30,30,40
158,1999,Female,Between 1 and 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,No,Regional,0,5,0,20,0
159,1994,Male,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",20-199,Yes,Metro,40,40,40,30,30
160,1985,Male,More than 5 years,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,40,40,20,20,0
161,1977,Male,More than 5 years,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,20-199,No,Metro,60,60,50,50,40
162,1994,Female,Between 1 and 5 years,Health Care and Social Assistance,"Professionals - Legal, Social and Welfare Professionals",More than 200,No,Regional,30,50,40,70,30
163,1984,Female,Between 1 and 5 years,Arts and Recreation,Clerical and administrative workers - General Clerical Workers,20-199,No,Metro,10,20,10,20,10
164,1984,Male,More than 5 years,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Metro,100,100,100,100,100
165,1994,Male,More than 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Metro,50,40,60,40,20
166,1995,Male,Less than 1 year,Information Media and Telecommunications,Professionals - ICT Professionals,20-199,No,Metro,30,60,50,60,50
167,1995,Male,Between 1 and 5 years,Construction,Technicians and trades workers - Construction Trades Workers,20-199,No,Metro,50,50,50,50,50
168,1990,Female,More than 5 years,Information Media and Telecommunications,Sales workers - Sales Support Workers,More than 200,Yes,Metro,30,60,40,40,40
169,1987,Male,More than 5 years,Arts and Recreation,Managers - Specialist Managers,More than 200,No,Regional,30,60,20,60,60
170,1973,Male,More than 5 years,Public Administration and Safety,"Professionals - Legal, Social and Welfare Professionals",More than 200,No,Metro,20,40,30,20,20
171,1974,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Regional,100,100,50,100,100
172,1985,Male,Between 1 and 5 years,Construction,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Metro,50,70,20,70,70
173,1992,Female,More than 5 years,Construction,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,Yes,Regional,0,80,0,80,80
174,1983,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,No,Regional,80,100,60,80,80
175,1976,Female,More than 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",20-199,No,Metro,10,50,10,50,50
176,2001,Female,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,20-199,Yes,Metro,50,5,0,0,5
177,1996,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Community and personal service workers - Protective Service Workers,More than 200,No,Metro,5,5,5,5,5
178,1987,Male,Less than 1 year,"Electricity, Gas, Water and Waste",Professionals - Arts and Media Professionals,5-19,No,Metro,30,40,30,50,70
179,1973,Male,More than 5 years,Public Administration and Safety,"Professionals - Design, Engineering, Science and Transport Professionals",20-199,Yes,Metro,100,80,80,100,100
180,1963,Male,Between 1 and 5 years,Other Services,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Yes,Metro,0,0,5,0,0
181,1997,Female,Between 1 and 5 years,Retail Trade,Technicians and trades workers - Skilled Animal and Horticultural Workers,5-19,Yes,Metro,20,40,50,40,40
182,1986,Female,Between 1 and 5 years,Public Administration and Safety,Managers - Specialist Managers,More than 200,Yes,Regional,40,40,10,40,40
183,1981,Female,Less than 1 year,"Rental, Hiring and Real Estate",Sales workers - Sales Representatives and Agents,20-199,Yes,Metro,90,80,90,60,100
184,1988,Female,Between 1 and 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Metro,70,50,20,20,20
185,1984,Female,More than 5 years,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",20-199,No,Regional,100,100,90,100,100
186,1994,Female,More than 5 years,Other Services,Professionals - Health Professionals,1-4,Yes,Metro,50,50,50,20,0
187,1990,Female,More than 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",5-19,Yes,Metro,40,60,0,40,40
188,1980,Male,Between 1 and 5 years,Construction,Technicians and trades workers - Other Technicians and Trades Workers,More than 200,No,Metro,100,100,100,100,100
189,1997,Female,Less than 1 year,Administrative and Support,Technicians and trades workers - Construction Trades Workers,1-4,Yes,Regional,80,50,0,0,60
190,1979,Female,More than 5 years,Education and Training,Professionals - Education Professionals,5-19,No,Metro,20,100,20,100,100
191,1988,Male,More than 5 years,Other Services,"Managers - Chief Executives, General Managers and Legislators",20-199,No,Metro,20,10,10,10,30
192,1960,Female,More than 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Metro,80,80,60,80,80
193,1974,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - Numerical Clerks,20-199,Yes,Metro,20,100,5,100,100
194,2002,Female,Less than 1 year,Education and Training,Sales workers - Sales Support Workers,5-19,No,Metro,20,30,70,70,40
195,2000,Female,Between 1 and 5 years,"Professional, Scientific and Technical",Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,Yes,Metro,50,100,0,100,100
196,1980,Female,Less than 1 year,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Metro,10,5,80,5,100
197,1974,Female,More than 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,No,Metro,0,100,0,50,0
198,1972,Female,More than 5 years,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",20-199,Yes,Metro,100,100,100,100,100
199,1973,Female,Between 1 and 5 years,Retail Trade,Sales workers - Sales Assistants and Salespersons,More than 200,Yes,Regional,5,5,5,5,5
200,1996,Male,Less than 1 year,"Professional, Scientific and Technical",Professionals - ICT Professionals,20-199,No,Metro,30,30,0,30,70
201,1984,Female,More than 5 years,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",5-19,No,Metro,80,80,60,60,50
202,1971,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - Personal Assistants and Secretaries,1-4,No,Metro,100,100,100,100,100
203,1977,Female,More than 5 years,Arts and Recreation,Professionals - Arts and Media Professionals,1-4,Yes,Regional,100,100,100,100,100
204,1974,Male,More than 5 years,Public Administration and Safety,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,No,Metro,100,80,100,80,80
205,1958,Male,More than 5 years,Other Services,"Managers - Chief Executives, General Managers and Legislators",1-4,No,Metro,5,20,20,20,20
206,1984,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",20-199,Yes,Metro,20,0,5,10,0
